,name,Clothes,Ears,Eyes,Fur,Hat,Mouth,asset_id,trait_n,Clothes_rarity,Ears_rarity,Eyes_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,trait_n_rarity,factoral_rarity,rarity_rank
0,ApeGang #4266,Hippie,,Albino,Ghost,,Joint,3491,4,0.0247,0.7565,0.017,0.0007,0.3096,0.0325,0.3968,1565.7220312279005,6
1,ApeGang #187,Magician,,,Alien,Cap,Drool Rainbow,3491,4,0.0277,0.7565,0.3104,0.0012,0.0175,0.0326,0.3968,964.31580797474,20
2,ApeGang #9891,,,Monocle,Alien,Laurel,Mustache,3491,4,0.2202,0.7565,0.034,0.0012,0.0208,0.0302,0.3968,952.3179683205628,22
3,ApeGang #2449,Vader,,,Robot,Vader,,3491,3,0.0001,0.7565,0.3104,0.0035,0.0001,0.3141,0.2239,20297.90779131213,2
4,ApeGang #4348,Red Hawaiian Shirt,Diamond Stud,,Ghost,Red NBA Headband,,3491,4,0.0283,0.0483,0.3104,0.0007,0.0202,0.3141,0.3968,1543.0415120934565,9
5,ApeGang #79,Black Tank Top,,,Ghost,Brown Beanie,Oh,3491,4,0.0227,0.7565,0.3104,0.0007,0.0187,0.0286,0.3968,1568.1289506417556,5
6,ApeGang #2033,Blue Hoodie,,,Zebra,Iron Man,,3491,3,0.0233,0.7565,0.3104,0.0481,0.0015,0.3141,0.2239,742.5686479901522,38
7,ApeGang #5914,Devil Wings,,Sad,Brown,Joker Hair,Beard,3491,5,0.0045,0.7565,0.0322,0.4242,0.0036,0.0309,0.2848,570.6088517835351,51
8,ApeGang #1098,Angel Wings,,Eye Patch,Robot,Red NBA Headband,,3491,4,0.0061,0.7565,0.0336,0.0035,0.0202,0.3141,0.3968,535.9413050152747,54
9,ApeGang #1894,White Tank Top,Bluetooth Earpiece,3D Glasses,Brown,Joker Hair,Tongue Out,3491,6,0.0224,0.052,0.0315,0.4242,0.0036,0.0316,0.0546,425.71540242770976,87
10,ApeGang #7642,Hotel Porter,Silver Hoop,Scar,Brown,Batman,Angry,3491,6,0.0228,0.0482,0.0347,0.4242,0.0037,0.0309,0.0546,416.73010762086307,96
11,ApeGang #4543,Joker,Airpods,,Brown,Batman,Cigarette,3491,5,0.012,0.0475,0.3104,0.4242,0.0037,0.0323,0.2848,414.706251539127,102
12,ApeGang #9233,Devil Wings,,Blind,Strong Dark Brown,Cap,Flames,3491,5,0.0045,0.7565,0.0144,0.1097,0.0175,0.0341,0.2848,392.0839203090827,118
13,ApeGang #5828,White Tank Top,,,Zebra,Batman,,3491,3,0.0224,0.7565,0.3104,0.0481,0.0037,0.3141,0.2239,347.8966538009906,200
14,ApeGang #8853,Devil Wings,Bluetooth Earpiece,,Brown,Green Beanie,Mustache,3491,5,0.0045,0.052,0.3104,0.4242,0.0166,0.0302,0.2848,343.8968021244647,207
15,ApeGang #1767,Space Suit,,Laser,Brown,Chef's,,3491,4,0.0046,0.7565,0.0167,0.4242,0.0188,0.3141,0.3968,339.8461496400152,210
16,ApeGang #8451,Angel Wings,,Black Sunglasses,Red Devil,Crown,Tongue Out,3491,5,0.0061,0.7565,0.0453,0.0162,0.0189,0.0316,0.2848,337.12661202966973,211
17,ApeGang #7562,,,,Cream,Joker Hair,Nose Ring,3491,3,0.2202,0.7565,0.3104,0.0845,0.0036,0.0318,0.2239,334.60977039119103,215
18,ApeGang #4402,Grey Striped T-Shirt,,,Brown,Joker Hair,,3491,3,0.0259,0.7565,0.3104,0.4242,0.0036,0.3141,0.2239,330.93870058066113,218
19,ApeGang #3566,Devil Wings,Silver Hoop,Cyclops,Grey,,,3491,4,0.0045,0.0482,0.0183,0.0815,0.3096,0.3141,0.3968,318.81769249180377,246
20,ApeGang #7693,Devil Wings,,Bruised,Brown,Borsalino,,3491,4,0.0045,0.7565,0.0345,0.4242,0.021,0.3141,0.3968,308.2098934971756,260
21,ApeGang #8665,Angel Wings,,Round Glasses,Brown,Sombrero,Cigarette,3491,5,0.0061,0.7565,0.0348,0.4242,0.0185,0.0323,0.2848,284.87435640494317,289
22,ApeGang #3490,Space Suit,,Closed,Cream,,,3491,3,0.0046,0.7565,0.0302,0.0845,0.3096,0.3141,0.2239,274.5400369294233,305
23,ApeGang #6886,Batman,,Robot Glasses,Red Devil,Horn,Flames,3491,5,0.0123,0.7565,0.0249,0.0162,0.0183,0.0341,0.2848,271.993285600279,311
24,ApeGang #8146,Angel Wings,,,Grey,Cowboy,Grillz,3491,4,0.0061,0.7565,0.3104,0.0815,0.0184,0.0378,0.3968,264.07090526208947,324
25,ApeGang #4911,Angel Wings,Silver Hoop,Scar,Black,,Shocked,3491,5,0.0061,0.0482,0.0347,0.0868,0.3096,0.0316,0.2848,263.4072750630528,325
26,ApeGang #6396,Hippie,Silver Hoop,Squinting,Tiger,Green Beanie,Covid Mask,3491,6,0.0247,0.0482,0.016,0.0517,0.0166,0.029,0.0546,256.1138184853405,347
27,ApeGang #109,Fireman,Airpods,High,Strong Dark Brown,Green Beanie,Angry,3491,6,0.0236,0.0475,0.0148,0.1097,0.0166,0.0309,0.0546,251.02729250240154,363
28,ApeGang #1305,Fireman,,Cyclops,Red Devil,Party,Corn,3491,5,0.0236,0.7565,0.0183,0.0162,0.018,0.0326,0.2848,249.8096003626415,366
29,ApeGang #2718,Mexican,Diamond Stud,Devil,Zebra,Military Helmet,Joint,3491,6,0.0243,0.0483,0.0163,0.0481,0.0178,0.0325,0.0546,249.2599355286001,371
30,ApeGang #1683,Prison Jumpsuit,Diamond Stud,Laser,Zebra,Sushi Chef,Baby Pacifier,3491,6,0.0238,0.0483,0.0167,0.0481,0.0181,0.0337,0.0546,246.6282283850797,381
31,ApeGang #807,Angel Wings,,,Cream,Brown Beanie,,3491,3,0.0061,0.7565,0.3104,0.0845,0.0187,0.3141,0.2239,241.43818718285473,418
32,ApeGang #7490,Joker,Gold Hoop,Scar,Brown,Cop,Grin Rainbow,3491,6,0.012,0.0475,0.0347,0.4242,0.0195,0.0327,0.0546,235.7398966637389,458
33,ApeGang #8534,Red NBA Jersey,Bluetooth Earpiece,Rainbow Sunglasses,Black,Cap,Nose Ring,3491,6,0.0248,0.052,0.0176,0.0868,0.0175,0.0318,0.0546,234.79668535967986,469
34,ApeGang #1712,Winter Coat,,Robot Glasses,Rainbow,Hotel Porter,Bubble Gum,3491,5,0.0251,0.7565,0.0249,0.0195,0.0164,0.028,0.2848,232.80633979340396,492
35,ApeGang #9371,,,,Zombie,Groom,Corn,3491,3,0.2202,0.7565,0.3104,0.0028,0.018,0.0326,0.2239,456.92439153046246,74
36,ApeGang #2018,Nurse,,Crazy,Brown,Joker Hair,Cigarette,3491,5,0.0235,0.7565,0.0346,0.4242,0.0036,0.0323,0.2848,387.3829473086586,125
37,ApeGang #5575,White Tank Top,,Eye Patch,Brown,Batman,Grillz,3491,5,0.0224,0.7565,0.0336,0.4242,0.0037,0.0378,0.2848,378.3205502455501,142
38,ApeGang #2536,Angel Wings,Gold Hoop,High,Black,Green Beanie,Smoke Pipe,3491,6,0.0061,0.0475,0.0148,0.0868,0.0166,0.0311,0.0546,374.78568570966496,145
39,ApeGang #3963,Space Suit,Bluetooth Earpiece,Bruised,Brown,Chef's,Smoke Pipe,3491,6,0.0046,0.052,0.0345,0.4242,0.0188,0.0311,0.0546,371.62580793270774,150
40,ApeGang #6762,White Tank Top,,,Grey,Batman,Baby Pacifier,3491,4,0.0224,0.7565,0.3104,0.0815,0.0037,0.0337,0.3968,363.9203444081768,169
41,ApeGang #8007,Hotel Porter,,,Brown,Joker Hair,,3491,3,0.0228,0.7565,0.3104,0.4242,0.0036,0.3141,0.2239,336.18831109342955,213
42,ApeGang #6977,Devil Wings,,,Black,Horn,Mustache,3491,4,0.0045,0.7565,0.3104,0.0868,0.0183,0.0302,0.3968,328.5640389143291,224
43,ApeGang #234,Indian,,,Brown,Batman,,3491,3,0.0231,0.7565,0.3104,0.4242,0.0037,0.3141,0.2239,328.1111977531583,227
44,ApeGang #7711,,,,Brown,Joker Hair,Baby Pacifier,3491,3,0.2202,0.7565,0.3104,0.4242,0.0036,0.0337,0.2239,323.3598790835141,235
45,ApeGang #6362,Space Suit,,,Strong Dark Brown,Red NBA Headband,Cigarette,3491,4,0.0046,0.7565,0.3104,0.1097,0.0202,0.0323,0.3968,314.0354652877374,254
46,ApeGang #9097,Space Suit,,Scar,Zebra,,Cigarette,3491,4,0.0046,0.7565,0.0347,0.0481,0.3096,0.0323,0.3968,305.03153377982505,263
47,ApeGang #8559,Devil Wings,Bluetooth Earpiece,Heart,Brown,,,3491,4,0.0045,0.052,0.033,0.4242,0.3096,0.3141,0.3968,283.0472352603245,293
48,ApeGang #8493,Space Suit,Airpods,,Brown,,Baby Pacifier,3491,4,0.0046,0.0475,0.3104,0.4242,0.3096,0.0337,0.3968,279.44668996129224,301
49,ApeGang #4304,Angel Wings,Gold Hoop,Robot Glasses,Brown,,Joint,3491,5,0.0061,0.0475,0.0249,0.4242,0.3096,0.0325,0.2848,265.01551985823266,320
50,ApeGang #7133,Black Tank Top,Gold Hoop,Albino,Tiger,Hotel Porter,Grin Gold,3491,6,0.0227,0.0475,0.017,0.0517,0.0164,0.0309,0.0546,254.92447181276853,352
51,ApeGang #7284,Iron Man,Bluetooth Earpiece,Eye Patch,Strong Dark Brown,Groom,Covid Mask,3491,6,0.0122,0.052,0.0336,0.1097,0.018,0.029,0.0546,248.42898988128044,374
52,ApeGang #6959,Indian,,Rainbow Sunglasses,Zebra,Purple Beanie,Joker,3491,5,0.0231,0.7565,0.0176,0.0481,0.0159,0.0171,0.2848,247.10397284348397,380
53,ApeGang #8569,Toga,Airpods,Strabismus,Grey,Groom,Grin Gold,3491,6,0.026,0.0475,0.0149,0.0815,0.018,0.0309,0.0546,245.13123606802353,390
54,ApeGang #475,Lumberjack,Gold Hoop,3D Glasses,Zebra,Laurel,Joker,3491,6,0.0227,0.0475,0.0315,0.0481,0.0208,0.0171,0.0546,242.51302110680732,409
55,ApeGang #8856,Magician,Airpods,Strabismus,Grey,Bandana,Beard,3491,6,0.0277,0.0475,0.0149,0.0815,0.0186,0.0309,0.0546,240.97866594363555,420
56,ApeGang #7904,Iron Man,,Round Glasses,Cheetah,War Bonnet,Snake,3491,5,0.0122,0.7565,0.0348,0.0294,0.0174,0.033,0.2848,237.32385843217452,443
57,ApeGang #1680,Yellow NBA Jersey,,Blind,Red Devil,Brown Beanie,,3491,4,0.0241,0.7565,0.0144,0.0162,0.0187,0.3141,0.3968,233.1682890831864,489
58,ApeGang #5568,Magician,,Cyclops,Alien,Laurel,Snake,3491,5,0.0277,0.7565,0.0183,0.0012,0.0208,0.033,0.2848,1007.2922915094363,12
59,ApeGang #2838,Toga,,Albino,Alien,Hotel Porter,,3491,4,0.026,0.7565,0.017,0.0012,0.0164,0.3141,0.3968,998.6197487772607,13
60,ApeGang #9627,Banana Shirt,,Devil,Alien,Cowboy,,3491,4,0.0237,0.7565,0.0163,0.0012,0.0184,0.3141,0.3968,998.2506833133544,14
61,ApeGang #1454,Blue Hoodie,,,Brown,Iron Man,,3491,3,0.0233,0.7565,0.3104,0.4242,0.0015,0.3141,0.2239,724.1360057951338,42
62,ApeGang #560,,,,Alien,,Oh,3491,2,0.2202,0.7565,0.3104,0.0012,0.3096,0.0286,0.0388,906.3863909520444,32
63,ApeGang #3594,Black Suit,Silver Hoop,High,Zombie,Hotel Porter,Joint,3491,6,0.0231,0.0482,0.0148,0.0028,0.0164,0.0325,0.0546,598.8072148076195,49
64,ApeGang #1839,Iron Man,,,Zombie,Flower Crown,Angry,3491,4,0.0122,0.7565,0.3104,0.0028,0.0198,0.0309,0.3968,529.0412681498789,55
65,ApeGang #1205,Orange Striped T-Shirt,,Laser,Zombie,Sushi Chef,,3491,4,0.0241,0.7565,0.0167,0.0028,0.0181,0.3141,0.3968,520.7912291964823,56
66,ApeGang #603,,Airpods,Heart,Zombie,,Oh,3491,4,0.2202,0.0475,0.033,0.0028,0.3096,0.0286,0.3968,453.7550155076107,76
67,ApeGang #966,,,Crazy,Zombie,Sushi Chef,,3491,3,0.2202,0.7565,0.0346,0.0028,0.0181,0.3141,0.2239,454.80639221195173,75
68,ApeGang #5083,Devil Wings,,Laser,Tiger,Brown Beanie,Joker,3491,5,0.0045,0.7565,0.0167,0.0517,0.0187,0.0171,0.2848,418.23340252418086,92
69,ApeGang #5207,Fireman,,Rainbow Sunglasses,Brown,Joker Hair,,3491,4,0.0236,0.7565,0.0176,0.4242,0.0036,0.3141,0.3968,386.3519573614208,129
70,ApeGang #4903,,,Gold Sunglasses,Robot,Horn,Smoke Pipe,3491,4,0.2202,0.7565,0.0471,0.0035,0.0183,0.0311,0.3968,402.12822222174293,109
71,ApeGang #6754,,,,Robot,Sushi Chef,Corn,3491,3,0.2202,0.7565,0.3104,0.0035,0.0181,0.0326,0.2239,385.18888333086585,133
72,ApeGang #6613,Batman,,,Black,Batman,Flames,3491,4,0.0123,0.7565,0.3104,0.0868,0.0037,0.0341,0.3968,399.4810216423618,112
73,ApeGang #5364,Space Suit,Diamond Stud,Hippie Glasses,Brown,Banana,Smoke Pipe,3491,6,0.0046,0.0483,0.0341,0.4242,0.0172,0.0311,0.0546,378.38702392147354,141
74,ApeGang #607,,,Robot Glasses,Tiger,Joker Hair,Grin Rainbow,3491,4,0.2202,0.7565,0.0249,0.0517,0.0036,0.0327,0.3968,376.2451842942694,144
75,ApeGang #1959,Devil Wings,,Sad,Rainbow,Flower Crown,Joint,3491,5,0.0045,0.7565,0.0322,0.0195,0.0198,0.0325,0.2848,390.6675684201619,121
76,ApeGang #800,,,,Red Devil,Batman,,3491,2,0.2202,0.7565,0.3104,0.0162,0.0037,0.3141,0.0388,370.04041328423904,153
77,ApeGang #845,Yellow NBA Jersey,,,Strong Dark Brown,Batman,Joker,3491,4,0.0241,0.7565,0.3104,0.1097,0.0037,0.0171,0.3968,386.42303649050336,128
78,ApeGang #5573,Military,,,Brown,Batman,Cigarette,3491,4,0.0227,0.7565,0.3104,0.4242,0.0037,0.0323,0.3968,354.70395246366894,185
79,ApeGang #3750,Devil Wings,Diamond Stud,Robot Glasses,Strong Dark Brown,Fisherman,,3491,5,0.0045,0.0483,0.0249,0.1097,0.0198,0.3141,0.2848,349.40255474138206,197
80,ApeGang #413,Devil Wings,,Cyclops,Brown,Laurel,Mustache,3491,5,0.0045,0.7565,0.0183,0.4242,0.0208,0.0302,0.2848,365.24702843926315,165
81,ApeGang #4703,Red Hawaiian Shirt,,,Brown,Batman,Shocked,3491,4,0.0283,0.7565,0.3104,0.4242,0.0037,0.0316,0.3968,346.67259537175374,203
82,ApeGang #7999,Purple Hoodie,,,Grey,Batman,Yawn,3491,4,0.0232,0.7565,0.3104,0.0815,0.0037,0.0329,0.3968,363.10248181484616,172
83,ApeGang #6354,White Tank Top,,,Brown,Batman,,3491,3,0.0224,0.7565,0.3104,0.4242,0.0037,0.3141,0.2239,329.46401160597213,220
84,ApeGang #8774,Pimp Coat,Gold Hoop,,Robot,,,3491,3,0.0253,0.0475,0.3104,0.0035,0.3096,0.3141,0.2239,360.394211685454,177
85,ApeGang #6695,Black Suit,,,Brown,Batman,,3491,3,0.0231,0.7565,0.3104,0.4242,0.0037,0.3141,0.2239,328.1111977531583,226
86,ApeGang #3304,Orange Striped T-Shirt,,Crazy,Strong Dark Brown,Batman,,3491,4,0.0241,0.7565,0.0346,0.1097,0.0037,0.3141,0.3968,356.80728840504196,184
87,ApeGang #5927,Space Suit,,Eye Patch,Grey,Cap,,3491,4,0.0046,0.7565,0.0336,0.0815,0.0175,0.3141,0.3968,323.5917427174213,234
88,ApeGang #9171,Pimp Coat,,Bruised,Brown,Batman,,3491,4,0.0253,0.7565,0.0345,0.4242,0.0037,0.3141,0.3968,348.1645856257808,198
89,ApeGang #4386,Devil Wings,,3D Glasses,Brown,Banana,,3491,4,0.0045,0.7565,0.0315,0.4242,0.0172,0.3141,0.3968,321.4909052615038,241
90,ApeGang #3841,Space Suit,,Sad,Brown,Horn,Yawn,3491,5,0.0046,0.7565,0.0322,0.4242,0.0183,0.0329,0.2848,340.67764210572045,209
91,ApeGang #5035,Angel Wings,Diamond Stud,Crazy,Brown,Stuntman Helmet,Baby Pacifier,3491,6,0.0061,0.0483,0.0346,0.4242,0.0197,0.0337,0.0546,314.64750281523516,252
92,ApeGang #7479,Space Suit,Gold Hoop,Gold Sunglasses,Brown,Military Helmet,,3491,5,0.0046,0.0475,0.0471,0.4242,0.0178,0.3141,0.2848,324.90744772180983,232
93,ApeGang #8889,Devil Wings,,,Brown,Fisherman,Baby Pacifier,3491,4,0.0045,0.7565,0.3104,0.4242,0.0198,0.0337,0.3968,311.8219296670177,256
94,ApeGang #1286,Space Suit,,,Brown,Laurel,Nose Ring,3491,4,0.0046,0.7565,0.3104,0.4242,0.0208,0.0318,0.3968,306.33583474054626,261
95,ApeGang #519,Devil Wings,,Monocle,Black,,Grin Rainbow,3491,4,0.0045,0.7565,0.034,0.0868,0.3096,0.0327,0.3968,300.8077765266074,270
96,ApeGang #5165,Black Suit,Silver Hoop,Robot,Red Devil,Sombrero,Covid Mask,3491,6,0.0231,0.0482,0.0265,0.0162,0.0185,0.029,0.0546,270.3530063649425,312
97,ApeGang #5108,Joker,Airpods,Strabismus,Zebra,Pirate,Shocked,3491,6,0.012,0.0475,0.0149,0.0481,0.0162,0.0316,0.0546,303.97906265903293,266
98,ApeGang #4772,Winter Coat,,Alien,Rainbow,Rabbit Ears,Bubble Gum,3491,5,0.0251,0.7565,0.0167,0.0195,0.019,0.028,0.2848,244.18190593535184,395
99,ApeGang #1244,Iron Man,Gold Hoop,Strabismus,Grey,Red NBA Headband,Bubble Gum,3491,6,0.0122,0.0475,0.0149,0.0815,0.0202,0.028,0.0546,285.93813182809333,286
100,ApeGang #4570,Yellow NBA Jersey,Bluetooth Earpiece,Strabismus,Cream,Nurse,Cigarette,3491,6,0.0241,0.052,0.0149,0.0845,0.0184,0.0323,0.0546,243.29555537469423,401
101,ApeGang #8885,Iron Man,Airpods,Rainbow Sunglasses,Brown,Groom,Smoke Pipe,3491,6,0.0122,0.0475,0.0176,0.4242,0.018,0.0311,0.0546,268.2203198134724,313
102,ApeGang #7982,Batman,Airpods,Round Glasses,Strong Dark Brown,Horn,Baby Pacifier,3491,6,0.0123,0.0475,0.0348,0.1097,0.0183,0.0337,0.0546,242.83826461621308,405
103,ApeGang #5039,Angel Wings,,Devil,Brown,,Snake,3491,4,0.0061,0.7565,0.0163,0.4242,0.3096,0.033,0.3968,265.01654089503677,319
104,ApeGang #6972,Nurse,Diamond Stud,Squinting,Grey,Viking Helmet,Beard,3491,6,0.0235,0.0483,0.016,0.0815,0.0187,0.0309,0.0546,242.1804775779013,412
105,ApeGang #6928,Angel Wings,,Albino,Zebra,,,3491,3,0.0061,0.7565,0.017,0.0481,0.3096,0.3141,0.2239,255.74980670480667,349
106,ApeGang #9049,Batman,Airpods,Heart,Brown,Halo,Corn,3491,6,0.0123,0.0475,0.033,0.4242,0.0173,0.0326,0.0546,241.80718663398775,417
107,ApeGang #2140,Black Suit,,Squinting,Red Devil,Headphone,Grillz,3491,5,0.0231,0.7565,0.016,0.0162,0.02,0.0378,0.2848,248.80657782728724,372
108,ApeGang #3191,Batman,Gold Hoop,Alien,Grey,Chef's,,3491,5,0.0123,0.0475,0.0167,0.0815,0.0188,0.3141,0.2848,234.3900475338717,474
109,ApeGang #9241,Hippie,,High,Rainbow,Sombrero,Grin Rainbow,3491,5,0.0247,0.7565,0.0148,0.0195,0.0185,0.0327,0.2848,248.80365563902785,373
110,ApeGang #3655,Pirate,Gold Hoop,Robot Glasses,White,Military Helmet,Joint,3491,6,0.0233,0.0475,0.0249,0.0402,0.0178,0.0325,0.0546,234.27137534054603,475
111,ApeGang #3202,Banana Shirt,,Cyclops,Tiger,Purple Beanie,Joker,3491,5,0.0237,0.7565,0.0183,0.0517,0.0159,0.0171,0.2848,242.38698828330337,411
112,ApeGang #5064,Toga,Airpods,Rainbow Sunglasses,Grey,Propeller,Nose Ring,3491,6,0.026,0.0475,0.0176,0.0815,0.0184,0.0318,0.0546,232.71167579145236,493
113,ApeGang #2942,Toga,Diamond Stud,Albino,Strong Dark Brown,Bandana,Mustache,3491,6,0.026,0.0483,0.017,0.1097,0.0186,0.0302,0.0546,232.29581385999438,495
114,ApeGang #9601,Black Tank Top,Bluetooth Earpiece,Cyclops,Grey,Flower Crown,Bubble Gum,3491,6,0.0227,0.052,0.0183,0.0815,0.0198,0.028,0.0546,234.73273459472324,470
115,ApeGang #3440,Pirate,Bluetooth Earpiece,Cyclops,Black,Banana,Flames,3491,6,0.0233,0.052,0.0183,0.0868,0.0172,0.0341,0.0546,234.09483663197008,477
116,ApeGang #7315,Mexican,Gold Hoop,Crazy,Cheetah,Hippie Bandana,Bubble Gum,3491,6,0.0243,0.0475,0.0346,0.0294,0.0182,0.028,0.0546,234.09459347401506,478
117,ApeGang #9431,Magician,Bluetooth Earpiece,Alien,Cream,Groom,Beard,3491,6,0.0277,0.052,0.0167,0.0845,0.018,0.0309,0.0546,233.27944472834494,488
118,ApeGang #7599,Blue Hoodie,,High,Red Devil,Bandana,,3491,4,0.0233,0.7565,0.0148,0.0162,0.0186,0.3141,0.3968,233.00359623965994,491
119,ApeGang #6920,Sheriff,,Round Glasses,Ghost,Stuntman Helmet,Nose Ring,3491,5,0.0245,0.7565,0.0348,0.0007,0.0197,0.0318,0.2848,1585.1644625067381,4
120,ApeGang #1614,Red Hawaiian Shirt,,Hippie Glasses,Zombie,Hippie Bandana,Joker,3491,5,0.0283,0.7565,0.0341,0.0028,0.0182,0.0171,0.2848,540.0617595145612,53
121,ApeGang #5168,Nurse,Silver Hoop,,Robot,Sushi Chef,Tongue Out,3491,5,0.0235,0.0482,0.3104,0.0035,0.0181,0.0316,0.2848,442.6414390148282,81
122,ApeGang #6864,Mexican,Gold Hoop,,Robot,Cap,,3491,4,0.0243,0.0475,0.3104,0.0035,0.0175,0.3141,0.3968,413.9875480442056,103
123,ApeGang #6539,Sheriff,,Bruised,Robot,,Yawn,3491,4,0.0245,0.7565,0.0345,0.0035,0.3096,0.0329,0.3968,392.9832687853525,116
124,ApeGang #5417,Devil Wings,Airpods,3D Glasses,Strong Dark Brown,Propeller,Oh,3491,6,0.0045,0.0475,0.0315,0.1097,0.0184,0.0286,0.0546,391.76453519680007,119
125,ApeGang #298,Devil Wings,,High,Brown,Groom,Joint,3491,5,0.0045,0.7565,0.0148,0.4242,0.018,0.0325,0.2848,383.30506773006755,135
126,ApeGang #7533,Groom,Airpods,,Cheetah,Joker Hair,,3491,4,0.0258,0.0475,0.3104,0.0294,0.0036,0.3141,0.3968,380.5292149550124,137
127,ApeGang #1452,Groom,,Sad,Brown,Batman,Grin Gold,3491,5,0.0258,0.7565,0.0322,0.4242,0.0037,0.0309,0.2848,379.63881197628587,138
128,ApeGang #8501,Space Suit,,Heart,Cheetah,Groom,Angry,3491,5,0.0046,0.7565,0.033,0.0294,0.018,0.0309,0.2848,374.45906821600346,146
129,ApeGang #7589,Devil Wings,,,Rainbow,Military Helmet,Mustache,3491,4,0.0045,0.7565,0.3104,0.0195,0.0178,0.0302,0.3968,369.8603194069209,155
130,ApeGang #6486,Devil Wings,,Laser,Cream,Purple Beanie,,3491,4,0.0045,0.7565,0.0167,0.0845,0.0159,0.3141,0.3968,363.8556008453404,170
131,ApeGang #4966,Banana Shirt,,,Brown,Joker Hair,Smoke Pipe,3491,4,0.0237,0.7565,0.3104,0.4242,0.0036,0.0311,0.3968,361.5472778760888,176
132,ApeGang #9460,Lab Coat,,Sad,Brown,Joker Hair,,3491,4,0.0242,0.7565,0.0322,0.4242,0.0036,0.3141,0.3968,359.5391088580115,178
133,ApeGang #4923,Space Suit,,Closed,Tiger,Borsalino,Grin Rainbow,3491,5,0.0046,0.7565,0.0302,0.0517,0.021,0.0327,0.2848,352.8794472920631,190
134,ApeGang #8423,Space Suit,Bluetooth Earpiece,Black Sunglasses,Strong Dark Brown,Groom,,3491,5,0.0046,0.052,0.0453,0.1097,0.018,0.3141,0.2848,330.063390018205,219
135,ApeGang #4698,Angel Wings,,,Red Devil,Magician,Grillz,3491,4,0.0061,0.7565,0.3104,0.0162,0.0213,0.0378,0.3968,306.12989239406636,262
136,ApeGang #838,Angel Wings,Airpods,Scar,Brown,Military Helmet,,3491,5,0.0061,0.0475,0.0347,0.4242,0.0178,0.3141,0.2848,279.03759090221865,303
137,ApeGang #7157,Joker,Gold Hoop,Devil,Brown,Cop,Yawn,3491,6,0.012,0.0475,0.0163,0.4242,0.0195,0.0329,0.0546,268.0852431340019,314
138,ApeGang #1770,Space Suit,,,Strong Dark Brown,,Flames,3491,3,0.0046,0.7565,0.3104,0.1097,0.3096,0.0341,0.2239,268.0723681261739,315
139,ApeGang #5191,Angel Wings,,Round Glasses,Black,Propeller,,3491,4,0.0061,0.7565,0.0348,0.0868,0.0184,0.3141,0.3968,265.5643596420883,318
140,ApeGang #4230,Joker,Diamond Stud,Robot Glasses,Strong Dark Brown,Green Beanie,Corn,3491,6,0.012,0.0483,0.0249,0.1097,0.0166,0.0326,0.0546,262.5445087298222,328
141,ApeGang #4945,Indian,,Devil,Rainbow,Hotel Porter,Covid Mask,3491,5,0.0231,0.7565,0.0163,0.0195,0.0164,0.029,0.2848,256.21326922090464,345
142,ApeGang #7355,Sheriff,,Albino,Rainbow,Propeller,Covid Mask,3491,5,0.0245,0.7565,0.017,0.0195,0.0184,0.029,0.2848,244.5856049525635,392
143,ApeGang #305,Lab Coat,Airpods,Strabismus,Cream,Propeller,Snake,3491,6,0.0242,0.0475,0.0149,0.0845,0.0184,0.033,0.0546,244.28923381989807,394
144,ApeGang #710,Iron Man,,Crazy,Tiger,Fireman,Oh,3491,5,0.0122,0.7565,0.0346,0.0517,0.0137,0.0286,0.2848,243.00215570214309,402
145,ApeGang #3013,Iron Man,,Cyclops,Black,Top Hat,Snake,3491,5,0.0122,0.7565,0.0183,0.0868,0.0168,0.033,0.2848,242.79271203244133,406
146,ApeGang #2022,Angel Wings,,Gold Sunglasses,Zebra,,Baby Pacifier,3491,4,0.0061,0.7565,0.0471,0.0481,0.3096,0.0337,0.3968,242.70147254525006,407
147,ApeGang #5811,Toga,Silver Hoop,Strabismus,Black,Crown,Corn,3491,6,0.026,0.0482,0.0149,0.0868,0.0189,0.0326,0.0546,239.743175566102,427
148,ApeGang #525,Joker,Bluetooth Earpiece,Crazy,Brown,Sushi Chef,Grin Rainbow,3491,6,0.012,0.052,0.0346,0.4242,0.0181,0.0327,0.0546,237.96789211805154,437
149,ApeGang #1393,Black Suit,Bluetooth Earpiece,Laser,Grey,Nurse,Snake,3491,6,0.0231,0.052,0.0167,0.0815,0.0184,0.033,0.0546,237.63686539708252,441
150,ApeGang #4613,Yellow NBA Jersey,Airpods,Blind,Brown,Cowboy,Yawn,3491,6,0.0241,0.0475,0.0144,0.4242,0.0184,0.0329,0.0546,237.40621173209448,442
151,ApeGang #1009,Yellow NBA Jersey,,Laser,Cheetah,Top Hat,Bubble Gum,3491,5,0.0241,0.7565,0.0167,0.0294,0.0168,0.028,0.2848,235.45882915532925,460
152,ApeGang #3106,Batman,,Albino,Brown,Sushi Chef,Beard,3491,5,0.0123,0.7565,0.017,0.4242,0.0181,0.0309,0.2848,234.92591236684217,466
153,ApeGang #4979,Winter Coat,,Alien,Alien,Propeller,,3491,4,0.0251,0.7565,0.0167,0.0012,0.0184,0.3141,0.3968,994.4277742059737,15
154,ApeGang #967,,,,Black,,,3491,1,0.2202,0.7565,0.3104,0.0868,0.3096,0.3141,0.0011,936.1101726542564,28
