,name,Clothes,Ears,Eyes,Fur,Hat,Mouth,asset_id,trait_n,Clothes_rarity,Ears_rarity,Eyes_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,trait_n_rarity,factoral_rarity,rarity_rank
2727,ApeGang #921,Lumberjack,,3D Glasses,Strong Dark Brown,Chef's,Grillz,3491,5,0.0227,0.7565,0.0315,0.1097,0.0188,0.0378,0.2848,169.39429430196165,2836
2728,ApeGang #2751,Banana Shirt,,Robot Glasses,Brown,Brain,Shocked,3491,5,0.0237,0.7565,0.0249,0.4242,0.0209,0.0316,0.2848,169.03768658518305,2862
2729,ApeGang #7625,Sheriff,,,Strong Dark Brown,Brown Beanie,Joker,3491,4,0.0245,0.7565,0.3104,0.1097,0.0187,0.0171,0.3968,168.9512526461124,2871
2730,ApeGang #4585,Hippie,,Black Sunglasses,Strong Dark Brown,Hotel Porter,Grin Rainbow,3491,5,0.0247,0.7565,0.0453,0.1097,0.0164,0.0327,0.2848,168.06641796167935,2947
2731,ApeGang #4497,Purple Hoodie,,3D Glasses,Brown,Propeller,Shocked,3491,5,0.0232,0.7565,0.0315,0.4242,0.0184,0.0316,0.2848,168.03336734459495,2950
2732,ApeGang #4692,Hotel Porter,,Black Sunglasses,Grey,Chef's,Tongue Out,3491,5,0.0228,0.7565,0.0453,0.0815,0.0188,0.0316,0.2848,167.8748149631961,2969
2733,ApeGang #580,Grey Striped T-Shirt,,Black Sunglasses,Cream,Banana,Grin Gold,3491,5,0.0259,0.7565,0.0453,0.0845,0.0172,0.0309,0.2848,167.85452077543937,2970
2734,ApeGang #7712,Purple Hoodie,Gold Hoop,Sad,Black,Nurse,,3491,5,0.0232,0.0475,0.0322,0.0868,0.0184,0.3141,0.2848,167.77547930390017,2978
2735,ApeGang #9625,Sheriff,,Scar,Strong Dark Brown,Chef's,Cigarette,3491,5,0.0245,0.7565,0.0347,0.1097,0.0188,0.0323,0.2848,167.73489532140835,2982
2736,ApeGang #7526,Groom,Airpods,Monocle,Black,Green Beanie,,3491,5,0.0258,0.0475,0.034,0.0868,0.0166,0.3141,0.2848,167.68072280374824,2985
2737,ApeGang #7520,Purple Hoodie,,Hippie Glasses,Cream,Brain,Drool Rainbow,3491,5,0.0232,0.7565,0.0341,0.0845,0.0209,0.0326,0.2848,167.61813059737932,2994
